ollama	1	1112	6.078335s	182.94
ollama	2	1068	5.830142s	183.19
ollama	3	NA	NA	NA
ollama	4	758	4.147171s	182.78
ollama	5	1280	7.10132s	180.25
ladder	1	128	128	10239.9	12950	0
ladder	1	256	256	10945.1	13671	0
ladder	1	384	384	11791.9	14396	0
ladder	1	512	512	13217.3	15808	0
ladder	1	768	768	15676.7	18620	0
ladder	1	1024	1024	18054.6	20777	0
ladder	2	128	128	9812.5	12444	0
ladder	2	256	256	10857.5	13540	0
ladder	2	384	384	12178.5	14851	0
ladder	2	512	512	13164.7	15774	0
ladder	2	768	768	15639.5	18650	0
ladder	2	1024	1024	18029.9	20724	0
ladder	3	128	128	9611.3	12366	0
ladder	3	256	256	10866.0	13453	0
ladder	3	384	384	12098.1	14851	0
ladder	3	512	512	13251.4	15735	0
ladder	3	768	768	15862.1	18620	0
ladder	3	1024	1024	18055.2	20657	0
ladder	4	128	128	9686.5	12425	0
ladder	4	256	256	11079.8	13866	0
ladder	4	384	384	12531.0	15090	0
ladder	4	512	512	13725.8	16689	0
ladder	4	768	768	15955.9	18554	0
ladder	4	1024	1024	18725.7	21427	0
gate	1	cold	LO	128	10231.4	13033	0
gate	1	cold	HI	384	12340.9	15188	0
gate	1	warm	LO	128	10259.7	12877	0
gate	1	warm	HI	384	12531.3	15377	0
gate	2	cold	LO	128	9826.2	12574	0
gate	2	cold	HI	384	12301.7	14960	0
gate	2	warm	LO	128	9954.2	12740	0
gate	2	warm	HI	384	12700.2	15299	0
gate	3	cold	LO	128	10175.1	12845	0
gate	3	cold	HI	384	12382.2	15236	0
gate	3	warm	LO	128	10256.2	12932	0
gate	3	warm	HI	384	12359.1	14923	0
gate	4	cold	LO	128	10125.7	12621	0
gate	4	cold	HI	384	12598.2	15280	0
gate	4	warm	LO	128	10046.5	12781	0
gate	4	warm	HI	384	12024.4	14639	0
gate	5	cold	LO	128	9917.5	12458	0
gate	5	cold	HI	384	12333.5	15011	0
gate	5	warm	LO	128	9853.1	12560	0
gate	5	warm	HI	384	12291.5	14968	0
gate	6	cold	LO	128	9829.4	12531	0
gate	6	cold	HI	384	12482.3	15162	0
gate	6	warm	LO	128	10256.2	13275	0
gate	6	warm	HI	384	12528.6	15163	0
gate	7	cold	LO	128	10248.7	12970	0
gate	7	cold	HI	384	12101.2	14697	0
gate	7	warm	LO	128	10167.6	13109	0
gate	7	warm	HI	384	12148.6	14822	0
