I0924 23:12:28.568521       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0924 23:12:28.568571       1 resolver.go:111] Model resolved via default
I0924 23:12:28.568684     114 server.go:1579] Starting language server process with pid 3572730
I0924 23:12:28.568955     114 server.go:1630] Language server version: 1.2.10
I0924 23:12:28.568962     114 server.go:615] Language server will attempt to listen on host localhost
I0924 23:12:28.569218     114 server.go:630] Language server listening on random port at 45249 for HTTPS (gRPC)
I0924 23:12:28.569249     114 server.go:638] Language server listening on random port at 38169 for HTTP
W0924 23:12:28.722256     136 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.722348     136 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0924 23:12:28.722849     136 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0924 23:12:28.722903     136 model_configs.go:226] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0924 23:12:28.732029     142 store_client.go:697] summary store: starting background reconciliation (trigger=startup)
W0924 23:12:28.733339     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.733390     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.733605     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.733706     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.734884     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.734932     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735021     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.735040     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735131     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.735155     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735207     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.735218     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735559     159 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.735610     159 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735798     159 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.735833     159 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.735950     114 defaults.go:704] failed to get cs path: cs path /usr/bin/cs invalid
I0924 23:12:28.736004     114 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0924 23:12:28.744604     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.744684     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.744800     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.744830     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.745086     167 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.745124     167 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.745571     125 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.745616     125 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.745696     125 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.745712     125 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.745805      81 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.745827      81 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.745862      81 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.745874      81 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0924 23:12:28.755396     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.755448     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0924 23:12:28.755530     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.755549     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0924 23:12:28.760800     534 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0924 23:12:28.760886     534 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0924 23:12:28.761058     534 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0924 23:12:28.761068     534 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0924 23:12:28.761132     534 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0924 23:12:28.761136     534 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0924 23:12:28.761187     534 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0924 23:12:28.761196     534 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0924 23:12:28.761200     534 manager.go:88] Migration [MIGRATION_ID_ADOPT_BWG_INSTALLS] is disabled, skipping entirely
I0924 23:12:28.772875     114 server.go:3072] Auth succeeded, refreshing features and managers
W0924 23:12:28.772993     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.773043     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0924 23:12:28.773317     114 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0924 23:12:28.773430     114 server.go:3079] State refresh took 0ms
I0924 23:12:28.773446     114 server.go:3090] [RemoteControl] Subscription callback triggered.
I0924 23:12:28.773621     114 server.go:3093] [RemoteControl] RemoteControlEnabled value: false
I0924 23:12:28.773629     114 server.go:3769] [RemoteControl] Session toggle is off, staying disconnected
I0924 23:12:28.773635     114 server.go:3480] [RemoteControl] Resolved proxyServerURL: ""
I0924 23:12:28.773694     114 profiler.go:231] Continuous pprof profiling is disabled.
I0924 23:12:28.773835     567 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0924 23:12:28.773874     567 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0924 23:12:28.773914     114 server.go:2531] initialized server successfully in 205.19856ms
W0924 23:12:28.774167     570 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0924 23:12:28.774269     570 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0924 23:12:28.774257       1 auto_updater.go:281] Last check was less than 15 minutes ago, skipping update (fast path)
I0924 23:12:28.774303       1 common.go:152] Launching CLI mode
I0924 23:12:28.774294     567 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0924 23:12:28.774313     567 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
E0924 23:12:28.774315       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0924 23:12:28.774334       1 common.go:174] CLI app data directory: /home/noah/.gemini/antigravity-cli
I0924 23:12:28.774351       1 server.go:315] Creating CLI server backend: product=antigravity workspaceDirs=[/mnt/nvme-raid0/worktrees/apr60-3636] appDataDir=/home/noah/.gemini/antigravity-cli cascadeManager=true codeAssist=true
