layer,ffn_norm,ffn_gate,ffn_up,ffn_silu,ffn_swigl,ffn_out
0,0.1773,0.9448,0.2393,0.1597,0.0881,0.3245
1,0.8510,1.4995,1.1000,0.0426,0.0613,0.3448
2,0.8552,1.9858,0.9401,0.0522,0.0709,0.2163
3,0.9953,1.9243,1.3351,0.1679,1.2216,11.4590
4,1.0910,2.2882,0.9708,0.1346,0.3903,3.8374
5,1.5278,2.0569,1.1136,0.0942,0.3428,1.7247
6,0.6202,1.6108,0.5211,0.2142,0.2033,1.5377
7,0.4563,0.6308,0.5172,0.2371,0.2219,1.0579
8,0.4738,0.6136,0.5412,0.2401,0.2163,1.1145
9,0.8080,1.5526,0.7450,0.1455,0.2593,1.3315
10,0.4720,0.6426,0.5164,0.2083,0.1698,0.7159
11,0.4428,0.5786,0.5089,0.2028,0.1616,0.7573
12,0.4376,0.5673,0.5207,0.2192,0.1996,1.2621
13,0.4280,0.5853,0.5094,0.2215,0.2237,1.4689
14,0.4361,0.5856,0.5193,0.2221,0.1999,1.1370
15,0.4221,0.5580,0.5178,0.2214,0.1473,0.7143
16,0.4220,0.5483,0.5122,0.2205,0.1505,0.5788
17,0.4418,0.5878,0.5435,0.2371,0.1634,0.5050
18,0.4594,0.6390,0.5750,0.2630,0.1935,0.5996
19,0.5146,0.7452,0.6528,0.2854,0.2293,0.6702
20,0.5630,0.8103,0.7310,0.3257,0.3167,0.9890
21,0.6538,0.9503,0.8503,0.3526,0.3699,1.0412
22,0.7750,1.1111,1.0196,0.3764,0.4591,1.3017
23,0.9222,1.2571,1.1929,0.3474,0.5495,1.6514
24,0.9243,1.2100,1.2028,0.3783,0.5680,1.7177
25,0.9758,1.2883,1.3384,0.4217,0.9361,2.8708
26,1.0039,1.3469,1.6359,0.5646,1.4519,5.8391
27,1.5687,2.2058,2.6311,0.9590,2.2472,6.4581
