# measured 2026-09-24T22:23:21Z
lambda-labs	apr	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
lambda-labs	pv	RED	no-sha (installed v0.69.3@ad5d07a, target v0.69.3@ad5d07a)
lambda-labs	forjar	RED	no-sha (installed v1.32.0@b12a839, target v1.32.0@b12a839)
lambda-labs	bashrs	RED	not-installed (installed -, target nightly@a023ca0)
lambda-labs	pmat	RED	behind (installed v3.41.1@516305e, target nightly@edc845e)
lambda-labs	pzsh	RED	version (installed nightly@b42cbbc, target nightly@b42cbbc)
lambda-labs	copia	RED	no-sha (installed v0.3.0@b3a8dc0, target v0.3.0@b3a8dc0)
lambda-labs	rmedia	RED	version (installed nightly@eafa272, target nightly@eafa272)
lambda-labs	ollama	GREEN	ok (installed 0.34.4, target upstream)
lambda-labs	llama.cpp	RED	behind-upstream (installed b11160, target upstream)
gx10	apr	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
gx10	pv	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
gx10	forjar	RED	no-sha (installed v1.32.0@b12a839, target v1.32.0@b12a839)
gx10	bashrs	RED	not-installed (installed -, target nightly@a023ca0)
gx10	pmat	RED	version (installed nightly@edc845e, target nightly@edc845e)
gx10	pzsh	RED	version (installed nightly@b42cbbc, target nightly@b42cbbc)
gx10	copia	RED	no-sha (installed v0.3.0@b3a8dc0, target v0.3.0@b3a8dc0)
gx10	ollama	GREEN	ok (installed 0.34.4, target upstream)
gx10	llama.cpp	RED	behind-upstream (installed b11160, target upstream)
yoga	apr	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
yoga	pv	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
yoga	forjar	RED	no-sha (installed v1.32.0@b12a839, target v1.32.0@b12a839)
yoga	bashrs	RED	version (installed nightly@a023ca0, target nightly@a023ca0)
yoga	pmat	RED	version (installed nightly@edc845e, target nightly@edc845e)
yoga	pzsh	RED	version (installed nightly@b42cbbc, target nightly@b42cbbc)
yoga	copia	RED	behind (installed nightly@2c0a3c8, target v0.3.0@b3a8dc0)
intel	apr	RED	behind (installed v0.69.3-rc.2@15c3032, target v0.69.3@ad5d07a)
intel	ollama	GREEN	ok (installed 0.34.4, target upstream)
mini	fleet-bins	RED	no-drift-rows-rc=127 (installed -, target -)
